Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Feb 1, 2020;Feb 2, 2020;1,362,480.00;1,411,889.75;49,409.75;419,723.00
Feb 2, 2020;Feb 3, 2020;1,252,154.00;1,292,875.50;40,721.50;651,739.00
Feb 3, 2020;Feb 4, 2020;1,531,726.50;1,570,249.25;38,522.75;854,842.75
Feb 4, 2020;Feb 5, 2020;1,607,783.00;1,642,560.25;34,777.25;880,775.50
Feb 5, 2020;Feb 6, 2020;1,580,060.00;1,612,778.50;32,718.50;1,117,077.50
Feb 6, 2020;Feb 7, 2020;1,585,460.00;1,619,930.75;34,470.75;1,223,876.00
Feb 7, 2020;Feb 8, 2020;1,523,709.50;1,561,971.75;38,262.25;1,222,525.25
Feb 8, 2020;Feb 9, 2020;1,333,878.75;1,360,050.50;26,171.75;807,479.25
Feb 9, 2020;Feb 10, 2020;1,283,655.50;1,324,777.75;41,122.25;372,738.75
Feb 10, 2020;Feb 11, 2020;1,587,886.00;1,631,371.50;43,485.50;580,332.75
Feb 11, 2020;Feb 12, 2020;1,645,411.00;1,685,644.50;40,233.50;566,810.75
Feb 12, 2020;Feb 13, 2020;1,636,683.00;1,671,936.75;35,253.75;636,177.50
Feb 13, 2020;Feb 14, 2020;1,614,392.00;1,653,965.00;39,573.00;977,598.75
Feb 14, 2020;Feb 15, 2020;1,523,297.00;1,558,649.25;35,352.25;1,212,691.25
Feb 15, 2020;Feb 16, 2020;1,332,515.25;1,364,883.00;32,367.75;562,208.25
Feb 16, 2020;Feb 17, 2020;1,283,809.50;1,319,425.75;35,616.25;302,919.75
Feb 17, 2020;Feb 18, 2020;1,550,089.25;1,592,393.25;42,304.00;648,812.25
Feb 18, 2020;Feb 19, 2020;1,600,218.75;1,640,802.00;40,583.25;611,152.00
Feb 19, 2020;Feb 20, 2020;1,582,402.25;1,621,964.50;39,562.25;718,829.25
Feb 20, 2020;Feb 21, 2020;1,561,168.00;1,590,833.25;29,665.25;777,403.50
Feb 21, 2020;Feb 22, 2020;1,546,116.50;1,587,263.00;41,146.50;592,041.50
Feb 22, 2020;Feb 23, 2020;1,363,544.00;1,404,492.75;40,948.75;296,940.00
Feb 23, 2020;Feb 24, 2020;1,255,409.25;1,297,296.00;41,886.75;362,039.00
Feb 24, 2020;Feb 25, 2020;1,475,911.25;1,513,117.00;37,205.75;782,217.75
Feb 25, 2020;Feb 26, 2020;1,541,704.25;1,584,759.50;43,055.25;637,478.50
